Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SP,2050,0.00031
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,TO,2025,0.0424
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,TO,2030,4e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,TO,2035,0.00186
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,TO,2040,0.00817
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,TO,2045,0.00592
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,TO,2050,0.16027
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AC,2025,0.00049
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AC,2030,0.0
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AC,2035,0.0
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AC,2040,0.0
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AC,2045,0.0
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AC,2050,0.00041
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AL,2025,0.00075
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AL,2030,0.0
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AL,2035,0.0
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AL,2040,0.0
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AL,2045,0.0
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,AL,2050,0.00069
